"","ENSEMBLE_ID","symbol","id_symbol"
"36622","ENSG00000243289","AGAP13P","ENSG00000243289;AGAP13P"
"7380","ENSG00000136940","PDCL","ENSG00000136940;PDCL"
"11489","ENSG00000164983","TMEM65","ENSG00000164983;TMEM65"
"16800","ENSG00000188859","FAM78B","ENSG00000188859;FAM78B"
"12611","ENSG00000169570","DTWD2","ENSG00000169570;DTWD2"
"782","ENSG00000058085","LAMC2","ENSG00000058085;LAMC2"
"1610","ENSG00000083828","ZNF586","ENSG00000083828;ZNF586"
"6085","ENSG00000128944","KNSTRN","ENSG00000128944;KNSTRN"
"14059","ENSG00000176396","EID2","ENSG00000176396;EID2"
"6758","ENSG00000133477","FAM83F","ENSG00000133477;FAM83F"
"2789","ENSG00000103254","ANTKMT","ENSG00000103254;ANTKMT"
"3321","ENSG00000106537","TSPAN13","ENSG00000106537;TSPAN13"
"8732","ENSG00000145740","SLC30A5","ENSG00000145740;SLC30A5"
"8056","ENSG00000141068","KSR1","ENSG00000141068;KSR1"
"10036","ENSG00000156973","PDE6D","ENSG00000156973;PDE6D"
"53052","ENSG00000275183","LENG9","ENSG00000275183;LENG9"
"13229","ENSG00000172197","MBOAT1","ENSG00000172197;MBOAT1"
"14211","ENSG00000177125","ZBTB34","ENSG00000177125;ZBTB34"
"20168","ENSG00000205476","CCDC85C","ENSG00000205476;CCDC85C"
"6402","ENSG00000131127","ZNF141","ENSG00000131127;ZNF141"
"38256","ENSG00000249319","ENSG00000249319","ENSG00000249319;ENSG00000249319"
"988","ENSG00000066827","ZFAT","ENSG00000066827;ZFAT"
"30244","ENSG00000231721","LINC-PINT","ENSG00000231721;LINC-PINT"
"11797","ENSG00000166263","STXBP4","ENSG00000166263;STXBP4"
"20101","ENSG00000205209","SCGB2B2","ENSG00000205209;SCGB2B2"
"4424","ENSG00000115421","PAPOLG","ENSG00000115421;PAPOLG"
"5917","ENSG00000127463","EMC1","ENSG00000127463;EMC1"
"6881","ENSG00000134326","CMPK2","ENSG00000134326;CMPK2"
"5071","ENSG00000120662","MTRF1","ENSG00000120662;MTRF1"
"2026","ENSG00000095380","NANS","ENSG00000095380;NANS"
"5647","ENSG00000125449","ARMC7","ENSG00000125449;ARMC7"
"17731","ENSG00000198498","TMA16","ENSG00000198498;TMA16"
"9792","ENSG00000154734","ADAMTS1","ENSG00000154734;ADAMTS1"
"12115","ENSG00000167565","SERTAD3","ENSG00000167565;SERTAD3"
"33221","ENSG00000236117","LINC01639","ENSG00000236117;LINC01639"
"886","ENSG00000064490","RFXANK","ENSG00000064490;RFXANK"
"2582","ENSG00000101871","MID1","ENSG00000101871;MID1"
"9668","ENSG00000153767","GTF2E1","ENSG00000153767;GTF2E1"
"1714","ENSG00000087053","MTMR2","ENSG00000087053;MTMR2"
"7004","ENSG00000135077","HAVCR2","ENSG00000135077;HAVCR2"
"4635","ENSG00000116874","WARS2","ENSG00000116874;WARS2"
"9999","ENSG00000156603","MED19","ENSG00000156603;MED19"
"16107","ENSG00000185989","RASA3","ENSG00000185989;RASA3"
"27233","ENSG00000227232","WASH7P","ENSG00000227232;WASH7P"
"5878","ENSG00000126970","ZC4H2","ENSG00000126970;ZC4H2"
"8663","ENSG00000145220","LYAR","ENSG00000145220;LYAR"
"13402","ENSG00000172954","LCLAT1","ENSG00000172954;LCLAT1"
"19896","ENSG00000204576","PRR3","ENSG00000204576;PRR3"
"15966","ENSG00000185477","GPRIN3","ENSG00000185477;GPRIN3"
"8841","ENSG00000146426","TIAM2","ENSG00000146426;TIAM2"
"7609","ENSG00000138119","MYOF","ENSG00000138119;MYOF"
"7761","ENSG00000139131","YARS2","ENSG00000139131;YARS2"
"10984","ENSG00000163393","SLC22A15","ENSG00000163393;SLC22A15"
"6233","ENSG00000130270","ATP8B3","ENSG00000130270;ATP8B3"
"585","ENSG00000042317","SPATA7","ENSG00000042317;SPATA7"
"17503","ENSG00000197776","KLHDC1","ENSG00000197776;KLHDC1"
"29631","ENSG00000230795","HLA-K","ENSG00000230795;HLA-K"
"5484","ENSG00000124217","MOCS3","ENSG00000124217;MOCS3"
"17232","ENSG00000196923","PDLIM7","ENSG00000196923;PDLIM7"
"20154","ENSG00000205423","CNEP1R1","ENSG00000205423;CNEP1R1"
"62481","ENSG00000291080","ZNF252P","ENSG00000291080;ZNF252P"
"2769","ENSG00000103160","HSDL1","ENSG00000103160;HSDL1"
"4185","ENSG00000113460","BRIX1","ENSG00000113460;BRIX1"
"6561","ENSG00000132326","PER2","ENSG00000132326;PER2"
"14812","ENSG00000180233","ZNRF2","ENSG00000180233;ZNRF2"
